Molecule,Route,Technical Specifications,Level 1,Level 2,Level 3,Level 4,ATC Code
Topiramate,Oral:,100 mg Tablet ,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Other antiepileptics,N03AX11
Trace Elements,Oral:,"Ampule Composed of:
Zn, Cu, Mn, Mg, Mb, etc.,
(IV nutrition) ",ALIMENTARY TRACT AND METABOLISM,VITAMINS," MULTIVITAMINS, COMBINATIONS",Multivitamins with minerals,A11AA04 
Tramadol,Oral:,50 mg (as Hydrochloride) Capsule *Primary Health Care,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,Other opioids,N02AX02 
Tramadol,Oral:,50 mg (as Hydrochloride) Dispersible tablet ,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,Other opioids,N02AX02 
Tramadol,Oral:,100 mg (as Hydrochloride) Modified Release (MR) tablet ,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,Other opioids,N02AX02 
Tramadol,Oral:,150 mg (as Hydrochloride) Modified Release (MR) tablet ,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,Other opioids,N02AX02 
Tramadol,Oral:,200 mg (as Hydrochloride) Modified Release (MR) tablet ,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,Other opioids,N02AX02 
Tramadol,Inj.:,"50 mg/mL (as Hydrochloride) in 1 mL Ampul (IM, IV, SC) ",NERVOUS SYSTEM,ANALGESICS,OPIOIDS,Other opioids,N02AX02 
Tramadol,Inj.:,"50 mg/mL (as Hydrochloride) in 2 mL Ampul (IM, IV, SC) ",NERVOUS SYSTEM,ANALGESICS,OPIOIDS,Other opioids,N02AX02 
Tranexamic Acid,Oral:,250 mg Capsule *Primary Health Care,BLOOD AND BLOOD FORMING ORGANS,ANTIHEMORRHAGICS,ANTIFIBRINOLYTICS,Amino acids,B02AA02 
Tranexamic Acid,Oral:,500 mg Capsule *Primary Health Care,BLOOD AND BLOOD FORMING ORGANS,ANTIHEMORRHAGICS,ANTIFIBRINOLYTICS,Amino acids,B02AA02 
Tranexamic Acid,Oral:,500 mg Tablet ,BLOOD AND BLOOD FORMING ORGANS,ANTIHEMORRHAGICS,ANTIFIBRINOLYTICS,Amino acids,B02AA02 
Tranexamic Acid,Inj.:,"100 mg/mL in 2.5 mL Ampule (IM,IV) ",BLOOD AND BLOOD FORMING ORGANS,ANTIHEMORRHAGICS,ANTIFIBRINOLYTICS,Amino acids,B02AA02 
Tranexamic Acid,Inj.:,"100 mg/mL in 5 mL Ampule (IM,IV) ",BLOOD AND BLOOD FORMING ORGANS,ANTIHEMORRHAGICS,ANTIFIBRINOLYTICS,Amino acids,B02AA02 
